ProteinId,pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_ComponentSize,pair_EigenvectorCentrality,pair_BetweennessCentrality,pair_KatzCentrality,pair_AvgNeighborDegree
P49716,3,1.0,3,685,4.965144068091137e-38,0.0,0.00860400253907926,21.0
P49720,41,0.8085365853658537,663,685,2.1982201691273316e-33,6.796645144094751e-05,0.022500653381365917,33.46341463414634
P49721,41,0.8085365853658537,663,685,2.1982201691273316e-33,6.783051853806561e-05,0.022500653381365917,33.46341463414634
P49736,10,1.0,45,11,1.0148807589311784e-171,0.0,0.009694412157855943,10.0
P49746,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P49747,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P49754,5,1.0,10,8,5.781023690853927e-219,0.0,0.0087933451173944,6.6
P49765,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P49767,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P49768,4,0.8333333333333334,5,6,1.4751364272061805e-249,1.4770106250236322e-07,0.008611857427233756,4.5
P49770,4,1.0,6,5,2.5161980026224215e-257,0.0,0.008606346037784565,4.0
P49790,30,1.0,435,44,4.011411226112391e-59,0.0,0.0168467697368591,30.533333333333335
P49792,32,0.8790322580645161,436,44,4.020338796195191e-59,3.249423375051991e-05,0.017135950551882922,28.6875
P49810,4,0.8333333333333334,5,6,1.4751364272061805e-249,1.474056603773585e-07,0.008611857427233756,4.5
P49815,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P49821,43,1.0,903,49,3.387100420385373e-21,0.0,0.03187528343002525,43.116279069767444
P49840,5,0.8,8,9,1.1546959711440318e-233,1.179245283018868e-07,0.008773724009343712,5.2
P49841,7,0.38095238095238093,8,9,1.246256180420504e-233,1.2997693500207964e-06,0.009057923667138064,4.0
P49848,23,0.7470355731225297,189,685,1.299878786346152e-31,0.00013637768683942683,0.013609204669842329,24.304347826086957
P49916,6,1.0,15,7,8.565519987246091e-221,0.0,0.008940842074889564,6.0
P49917,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P49959,5,1.0,10,18,2.636527089476408e-194,0.0,0.00882626623841189,8.8
P50213,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P50539,1,0.0,0,685,3.318101683751499e-35,0.0,0.008194878668755255,16.0
P50613,9,1.0,36,10,4.552434744662686e-182,0.0,0.009494356531681056,9.0
P50748,2,1.0,1,5,3.195257280973358e-294,0.0,0.008301096752186286,3.0
P50750,2,0.0,0,3,0.0,5.89622641509434e-07,0.00829094718395542,1.0
P50914,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P50990,7,1.0,21,8,2.6961278171948206e-206,0.0,0.009118033774501103,7.0
P50991,7,1.0,21,8,2.6961278171948206e-206,0.0,0.009118033774501103,7.0
P51114,2,1.0,1,9,2.894335510346707e-268,0.0,0.008301281662114227,3.0
P51116,2,1.0,1,9,2.894335510346707e-268,0.0,0.008301281662114227,3.0
P51164,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P51168,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P51170,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P51172,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P51398,29,1.0,406,30,8.680753201694108e-63,0.0,0.01616675940192703,29.0
P51531,22,0.7186147186147186,166,685,1.5723461278320505e-33,4.145820653406476e-06,0.012902269911287071,21.181818181818183
P51532,26,0.6461538461538462,210,685,1.6999482420496982e-33,5.294244752891895e-06,0.013672817851311917,19.884615384615383
P51553,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P51571,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
