ComplexId,ProteinId,Stoichiometry,Evidence
CPX-1196,Q8WUB8,0,ECO:0005547
CPX-1196,Q92922,0,ECO:0005547
CPX-1196,Q92925,0,ECO:0005547
CPX-1196,Q969G3,0,ECO:0005547
CPX-1196,Q96GM5,0,ECO:0005547
CPX-1196,Q9NPI1,0,ECO:0005547
CPX-1199,O96019,0,ECO:0005547
CPX-1199,P51532,0,ECO:0005547
CPX-1199,P60709,0,ECO:0005547
CPX-1199,Q12824,0,ECO:0005547
CPX-1199,Q68CP9,0,ECO:0005547
CPX-1199,Q86U86,0,ECO:0005547
CPX-1199,Q8TAQ2,0,ECO:0005547
CPX-1199,Q8WUB8,0,ECO:0005547
CPX-1199,Q92922,0,ECO:0005547
CPX-1199,Q92925,0,ECO:0005547
CPX-1199,Q969G3,0,ECO:0005547
CPX-1199,Q96GM5,0,ECO:0005547
CPX-1199,Q9NPI1,0,ECO:0005547
CPX-12,P84022,3,ECO:0005546
CPX-120,P15309,2,ECO:0000353
CPX-1201,O14497,0,ECO:0005547
CPX-1201,O96019,0,ECO:0005547
CPX-1201,P51531,0,ECO:0005547
CPX-1201,P60709,0,ECO:0005547
CPX-1201,Q12824,0,ECO:0005547
CPX-1201,Q6STE5,0,ECO:0005547
CPX-1201,Q8TAQ2,0,ECO:0005547
CPX-1201,Q8WUB8,0,ECO:0005547
CPX-1201,Q92922,0,ECO:0005547
CPX-1201,Q969G3,0,ECO:0005547
CPX-1201,Q96GM5,0,ECO:0005547
CPX-1202,O14497,0,ECO:0005547
CPX-1202,O94805,0,ECO:0005547
CPX-1202,P51531,0,ECO:0005547
CPX-1202,P60709,0,ECO:0005547
CPX-1202,Q12824,0,ECO:0005547
CPX-1202,Q6STE5,0,ECO:0005547
CPX-1202,Q8TAQ2,0,ECO:0005547
CPX-1202,Q92782,0,ECO:0005547
CPX-1202,Q92784,0,ECO:0005547
CPX-1202,Q92922,0,ECO:0005547
CPX-1202,Q969G3,0,ECO:0005547
CPX-1202,Q96GM5,0,ECO:0005547
CPX-1203,O14497,0,ECO:0005547
CPX-1203,O94805,0,ECO:0005547
CPX-1203,P51531,0,ECO:0005547
CPX-1203,P60709,0,ECO:0005547
CPX-1203,Q12824,0,ECO:0005547
CPX-1203,Q8TAQ2,0,ECO:0005547
CPX-1203,Q92925,0,ECO:0005547
CPX-1203,Q969G3,0,ECO:0005547
CPX-1204,O14497,0,ECO:0005547
CPX-1204,O96019,0,ECO:0005547
CPX-1204,P51532,0,ECO:0005547
CPX-1204,P60709,0,ECO:0005547
CPX-1204,Q12824,0,ECO:0005547
CPX-1204,Q6STE5,0,ECO:0005547
CPX-1204,Q8TAQ2,0,ECO:0005547
CPX-1204,Q92922,0,ECO:0005547
CPX-1204,Q92925,0,ECO:0005547
CPX-1204,Q969G3,0,ECO:0005547
CPX-1204,Q96GM5,0,ECO:0005547
CPX-1205,O96019,0,ECO:0005547
CPX-1205,P51531,0,ECO:0005547
CPX-1205,P60709,0,ECO:0005547
CPX-1205,Q12824,0,ECO:0005547
CPX-1205,Q6STE5,0,ECO:0005547
CPX-1205,Q8NFD5,0,ECO:0005547
CPX-1205,Q8TAQ2,0,ECO:0005547
CPX-1205,Q92922,0,ECO:0005547
CPX-1205,Q92925,0,ECO:0005547
CPX-1205,Q969G3,0,ECO:0005547
CPX-1205,Q96GM5,0,ECO:0005547
CPX-1206,O96019,0,ECO:0005547
CPX-1206,P51532,0,ECO:0005547
CPX-1206,P60709,0,ECO:0005547
CPX-1206,Q12824,0,ECO:0005547
CPX-1206,Q6STE5,0,ECO:0005547
CPX-1206,Q8NFD5,0,ECO:0005547
CPX-1206,Q8TAQ2,0,ECO:0005547
CPX-1206,Q92922,0,ECO:0005547
CPX-1206,Q92925,0,ECO:0005547
CPX-1206,Q969G3,0,ECO:0005547
CPX-1206,Q96GM5,0,ECO:0005547
CPX-1207,O14497,0,ECO:0005547
CPX-1207,O94805,0,ECO:0005547
CPX-1207,P51531,0,ECO:0005547
CPX-1207,P60709,0,ECO:0005547
CPX-1207,Q12824,0,ECO:0005547
CPX-1207,Q6STE5,0,ECO:0005547
CPX-1207,Q8TAQ2,0,ECO:0005547
CPX-1207,Q92922,0,ECO:0005547
CPX-1207,Q92925,0,ECO:0005547
CPX-1207,Q969G3,0,ECO:0005547
CPX-1207,Q96GM5,0,ECO:0005547
CPX-1209,O14497,0,ECO:0005547
CPX-1209,O94805,0,ECO:0005547
CPX-1209,P51532,0,ECO:0005547
CPX-1209,P60709,0,ECO:0005547
CPX-1209,Q12824,0,ECO:0005547
CPX-1209,Q6STE5,0,ECO:0005547
CPX-1209,Q8TAQ2,0,ECO:0005547
CPX-1209,Q92922,0,ECO:0005547
CPX-1209,Q92925,0,ECO:0005547
CPX-1209,Q969G3,0,ECO:0005547
CPX-1209,Q96GM5,0,ECO:0005547
CPX-1210,O94805,0,ECO:0005547
CPX-1210,P51531,0,ECO:0005547
CPX-1210,P60709,0,ECO:0005547
CPX-1210,Q12824,0,ECO:0005547
CPX-1210,Q6STE5,0,ECO:0005547
CPX-1210,Q8NFD5,0,ECO:0005547
CPX-1210,Q8TAQ2,0,ECO:0005547
CPX-1210,Q92922,0,ECO:0005547
CPX-1210,Q92925,0,ECO:0005547
CPX-1210,Q969G3,0,ECO:0005547
CPX-1210,Q96GM5,0,ECO:0005547
CPX-1211,O94805,0,ECO:0005547
CPX-1211,P51532,0,ECO:0005547
CPX-1211,P60709,0,ECO:0005547
CPX-1211,Q12824,0,ECO:0005547
CPX-1211,Q6STE5,0,ECO:0005547
CPX-1211,Q8NFD5,0,ECO:0005547
CPX-1211,Q8TAQ2,0,ECO:0005547
CPX-1211,Q92922,0,ECO:0005547
CPX-1211,Q92925,0,ECO:0005547
CPX-1211,Q969G3,0,ECO:0005547
CPX-1211,Q96GM5,0,ECO:0005547
CPX-1212,O14497,0,ECO:0005547
CPX-1212,O96019,0,ECO:0005547
CPX-1212,P51532,0,ECO:0005547
CPX-1212,P60709,0,ECO:0005547
CPX-1212,Q12824,0,ECO:0005547
CPX-1212,Q6STE5,0,ECO:0005547
CPX-1212,Q8TAQ2,0,ECO:0005547
CPX-1212,Q8WUB8,0,ECO:0005547
CPX-1212,Q92922,0,ECO:0005547
CPX-1212,Q969G3,0,ECO:0005547
CPX-1212,Q96GM5,0,ECO:0005547
CPX-1213,O96019,0,ECO:0005547
CPX-1213,P51531,0,ECO:0005547
CPX-1213,P60709,0,ECO:0005547
CPX-1213,Q12824,0,ECO:0005547
