gene,essential_category,database,Protein
TMEM238,Non-essential,D,C9JI98
BTBD19,Non-essential,D,C9JJ37
USP17L10,Non-essential,D,C9JJH3
USP17L13,Cancer,O,C9JLJ4
ZFTA,Non-essential,D,C9JLR9
MCRIP1,Non-essential,D,C9JLW8
ZNF878,Non-essential,D,C9JN71
TMEM232,Non-essential,D,C9JQI7
KBTBD13,Non-essential,D,C9JR72
AKR1B15,Non-essential,D,C9JRZ8
MEIOSIN,Non-essential,D,C9JSJ3
ANKRD63,Non-essential,D,C9JTQ0
ADM5,Non-essential,D,C9JUS6
INAFM1,Non-essential,D,C9JVW0
FREY1,Non-essential,D,C9JXX5
PRAC2,Non-essential,D,D3DTV9
KLRF2,Non-essential,D,D3W0D1
MCIDAS,Non-essential,D,D6RGH6
C4orf54,Non-essential,D,D6RIA3
STMP1,Non-essential,D,E0CX11
MUC22,Non-essential,D,E2RYF6
NPIPB11,Non-essential,D,E5RHQ5
ANKRD65,Non-essential,D,E5RJM6
FTCDNL1,Non-essential,D,E5RQL4
RNF223,Non-essential,D,E7ERA6
ZNF587B,Non-essential,D,E7ETH6
PROB1,Non-essential,D,E7EW31
NACA,Core,D,E9PAV3
PTGES3L,Non-essential,D,E9PB15
ANHX,Non-essential,D,E9PGG2
NPIPA5,Core,O,E9PKD4
FNDC10,Non-essential,D,F2Z333
UBAP1L,Non-essential,D,F5GYI3
C3orf80,Non-essential,D,F5H4A9
FAM227A,Non-essential,D,F5H4B4
PRNP,Cancer,O,F7VJQ1
GOLGA8N,Non-essential,D,F8WBI6
TMEM250,Non-essential,D,H0YL14
SMKR1,Non-essential,D,H3BMG3
CIMIP7,Non-essential,D,H3BNL1
ARMH2,Non-essential,D,H3BNL8
MKRN2OS,Non-essential,D,H3BPM6
STMND1,Non-essential,D,H3BQB6
LY6L,Non-essential,D,H3BQJ8
FAM229A,Non-essential,D,H3BQW9
SMLR1,Non-essential,D,H3BR10
PIERCE2,Non-essential,D,H3BRN8
TMEM178B,Non-essential,D,H3BS89
GOLGA8M,Non-essential,D,H3BSY2
TEX46,Non-essential,D,H3BTG2
CCDC179,Non-essential,D,H3BU77
TGFBR3L,Non-essential,D,H3BV60
CROCC2,Non-essential,D,H7BZ55
